filename,resolved_model,amusement,anger,awe,contentment,disgust,excitement,fear,sadness
disgust/disgust_00509.mp3,deepseek/deepseek-chat-v3,0.19,0.16,0.35,0.12,0.27,0.15,0.24,0.13
disgust/disgust_02047.mp3,deepseek/deepseek-chat-v3,0.44,0.5,0.5,0.09,0.25,0.69,0.505,0.17
disgust/disgust_03228.mp3,deepseek/deepseek-chat-v3,0.12,0.2,0.15,0.2,0.12,0.18,0.1,0.15
disgust/disgust_04038.mp3,deepseek/deepseek-chat-v3,0.22,0.52,0.21,0.28,0.69,0.21,0.18,0.23
disgust/disgust_06466.mp3,deepseek/deepseek-chat-v3,0.12,0.85,0.1,0.2,0.95,0.15,0.1,0.3
disgust/disgust_06543.mp3,deepseek/deepseek-chat-v3,0.38,0.58,0.45,0.22,0.26,0.33,0.26,0.3
excitement/excitement_07980.mp3,deepseek/deepseek-chat-v3,0.79,0.05,0.45,0.47,0.02,0.56,0.1,0.02
excitement/excitement_08007.mp3,deepseek/deepseek-chat-v3,0.67,0.15,0.64,0.48,0.07,0.56,0.19,0.13
excitement/excitement_08008.mp3,deepseek/deepseek-chat-v3,0.62,0.12,0.45,0.68,0.03,0.53,0.15,0.05
excitement/excitement_08031.mp3,deepseek/deepseek-chat-v3,0.45,0.12,0.35,0.55,0.02,0.65,0.18,0.05
excitement/excitement_15995.mp3,deepseek/deepseek-chat-v3,0.67,0.0,0.0,0.0,0.0,0.46,0.0,0.0
excitement/excitement_16004.mp3,deepseek/deepseek-chat-v3,0.63,0.1,0.35,0.45,0.02,0.55,0.15,0.04
excitement/excitement_16006.mp3,deepseek/deepseek-chat-v3,0.52,0.0,0.45,0.3,0.1,0.48,0.08,0.09
fear/fear_03287.mp3,deepseek/deepseek-chat-v3,0.25,0.89,0.51,0.15,0.64,0.45,0.69,0.65
fear/fear_09153.mp3,deepseek/deepseek-chat-v3,0.15,0.35,0.45,0.1,0.3,0.35,0.6,0.25
fear/fear_09170.mp3,deepseek/deepseek-chat-v3,0.45,0.3,0.35,0.4,0.2,0.4,0.3,0.25
fear/fear_09173.mp3,deepseek/deepseek-chat-v3,0.0,0.47,0.28,0.1,0.35,0.48,0.73,0.41
fear/fear_09183.mp3,deepseek/deepseek-chat-v3,0.25,0.28,0.37,0.08,0.26,0.42,0.51,0.23
fear/fear_09249.mp3,deepseek/deepseek-chat-v3,0.0,0.6,0.4,0.1,0.3,0.2,0.7,0.3
sadness/sadness_03442.mp3,deepseek/deepseek-chat-v3,0.27,0.12,0.24,0.19,0.17,0.31,0.17,0.07
sadness/sadness_03451.mp3,deepseek/deepseek-chat-v3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
sadness/sadness_03452.mp3,deepseek/deepseek-chat-v3,0.68,0.28,0.37,0.65,0.12,0.58,0.18,0.22
sadness/sadness_06469.mp3,deepseek/deepseek-chat-v3,0.19,0.0,0.19,0.23,0.1,0.38,0.15,0.2
sadness/sadness_07965.mp3,deepseek/deepseek-chat-v3,0.12,0.15,0.19,0.11,0.29,0.16,0.15,0.21
sadness/sadness_07972.mp3,deepseek/deepseek-chat-v3,0.25,0.23,0.55,0.12,0.3,0.35,0.45,0.6
